Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
MgSO4,Mahboub,experimental,-6.0,0.1,0.0249,1.889,,,False,
MgSO4,Mahboub,experimental,-3.0,0.1,0.0249,1.683,,,False,
MgSO4,Mahboub,experimental,-1.0,0.1,0.0249,1.93,,,False,
MgSO4,Mahboub,experimental,5.0,0.1,0.0249,2.209,,,False,
MgSO4,Mahboub,experimental,20.0,0.1,0.0249,3.112,,,False,
MgSO4,Mahboub,experimental,25.0,0.1,0.0249,3.423,,,False,
MgSO4,Mahboub,experimental,-10.0,0.1,0.3323,11.09,,,False,
MgSO4,Mahboub,experimental,-6.0,0.1,0.3323,11.723,,,False,
MgSO4,Mahboub,experimental,-3.0,0.1,0.3323,12.797,,,False,
MgSO4,Mahboub,experimental,-1.0,0.1,0.3323,13.787,,,False,
MgSO4,Mahboub,experimental,5.0,0.1,0.3323,15.993,,,False,
MgSO4,Mahboub,experimental,20.0,0.1,0.3323,22.943,,,False,
MgSO4,Mahboub,experimental,25.0,0.1,0.3323,25.237,,,False,
MgSO4,Mahboub,experimental,-10.0,0.1,0.6646,15.5,,,False,
MgSO4,Mahboub,experimental,-6.0,0.1,0.6646,18.21,,,False,
MgSO4,Mahboub,experimental,-3.0,0.1,0.6646,19.34,,,False,
MgSO4,Mahboub,experimental,-1.0,0.1,0.6646,21.143,,,False,
MgSO4,Mahboub,experimental,5.0,0.1,0.6646,25.187,,,False,
MgSO4,Mahboub,experimental,20.0,0.1,0.6646,36.417,,,False,
MgSO4,Mahboub,experimental,25.0,0.1,0.6646,40.06,,,False,
MgSO4,Mahboub,experimental,-10.0,0.1,0.997,20.37,,,False,
MgSO4,Mahboub,experimental,-6.0,0.1,0.997,22.263,,,False,
MgSO4,Mahboub,experimental,-3.0,0.1,0.997,24.713,,,False,
MgSO4,Mahboub,experimental,-1.0,0.1,0.997,26.32,,,False,
MgSO4,Mahboub,experimental,5.0,0.1,0.997,31.11,,,False,
MgSO4,Mahboub,experimental,20.0,0.1,0.997,44.403,,,False,
MgSO4,Mahboub,experimental,25.0,0.1,0.997,48.847,,,False,
MgSO4,Mahboub,experimental,-10.0,0.1,1.4124,21.787,,,False,
MgSO4,Mahboub,experimental,-6.0,0.1,1.4124,24.39,,,False,
MgSO4,Mahboub,experimental,-3.0,0.1,1.4124,27.707,,,False,
MgSO4,Mahboub,experimental,-1.0,0.1,1.4124,29.163,,,False,
MgSO4,Mahboub,experimental,5.0,0.1,1.4124,35.0,,,False,
MgSO4,Mahboub,experimental,20.0,0.1,1.4124,51.337,,,False,
MgSO4,Mahboub,experimental,25.0,0.1,1.4124,56.47,,,False,
MgSO4,Mahboub,experimental,-10.0,0.1,1.6616,22.353,,,False,
MgSO4,Mahboub,experimental,-6.0,0.1,1.6616,24.713,,,False,
MgSO4,Mahboub,experimental,-3.0,0.1,1.6616,27.767,,,False,
MgSO4,Mahboub,experimental,-1.0,0.1,1.6616,29.483,,,False,
MgSO4,Mahboub,experimental,5.0,0.1,1.6616,35.43,,,False,
MgSO4,Mahboub,experimental,20.0,0.1,1.6616,53.05,,,False,
MgSO4,Mahboub,experimental,25.0,0.1,1.6616,58.353,,,False,
NaCl,Pan2021,experimental,19.85,212.0,0.1620017225,13.89,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,13.85,414.0,0.153656235,10.56,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,16.85,212.0,0.1618501618,12.85,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,12.85,414.0,0.153656235,10.3,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,14.85,212.0,0.1616988844,11.96,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,9.85,414.0,0.1533837683,9.55,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,12.85,212.0,0.1615478895,11.34,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,7.85,414.0,0.153247897,9.12,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,9.85,212.0,0.1613971764,10.79,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,4.85,414.0,0.1531122661,8.36,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,7.85,212.0,0.1612467442,10.11,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,2.85,414.0,0.1529768752,7.69,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,4.85,212.0,0.1610965921,9.05,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-0.15,414.0,0.1527068103,6.89,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,2.85,212.0,0.1609467195,8.3,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-2.15,414.0,0.1525721351,6.37,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-0.15,212.0,0.1607971254,7.43,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-5.15,414.0,0.1524376973,6.11,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-2.15,212.0,0.160647809,6.86,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-7.15,414.0,0.1524008450879553,5.31,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,212.0,0.1604987701,6.07,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-10.15,414.0,0.1522217687832337,1.35,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-7.15,212.0,0.1603500072,5.59,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-12.15,414.0,0.1521030753259531,0.93,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-10.15,212.0,0.1602015198,5.21,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-13.15,414.0,0.1520439350148489,0.73,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-12.15,212.0,0.1600533072,4.65,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-15.15,414.0,0.1519260658931484,0.46,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-15.15,212.0,0.1599053686,3.87,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-16.15,414.0,0.173,0.37,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-18.15,212.0,0.173,0.3,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-15.15,414.0,0.1519260658931484,0.42,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-20.15,212.0,0.173,0.17,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-10.15,414.0,0.1522217687832337,1.59,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-18.15,212.0,0.173,0.34,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-8.15,414.0,0.1523410144773543,1.91,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-8.15,212.0,0.1602851022806393,6.4,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,414.0,0.1525209231937799,2.39,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-5.15,212.0,0.160464355671725,7.2,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-2.15,414.0,0.1527020866646418,3.47,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-2.15,212.0,0.1606449282847137,7.88,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-0.15,414.0,0.1528235630645288,3.62,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-0.15,212.0,0.1607660466564741,8.32,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,1.85,414.0,0.1529456026553712,6.01,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,2.85,212.0,0.1609488348059159,9.24,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,2.85,414.0,0.153006834345603,6.15,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,4.85,212.0,0.1610714372898724,9.85,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,4.85,414.0,0.1531297229204908,6.43,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,7.85,212.0,0.1612564623392127,10.49,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,414.0,0.1534394378830094,7.12,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,212.0,0.1613805633029092,10.92,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,18.35,817.0,0.1437008508,9.63,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,9.85,615.0,0.1476247922,8.19,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,16.85,817.0,0.1435815861,9.29,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,7.85,615.0,0.147498928,8.39,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,14.85,817.0,0.143462519,8.88,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,4.85,615.0,0.1473732783,7.47,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,12.85,817.0,0.1433436495,8.34,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,2.85,615.0,0.14712262,7.07,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,10.85,817.0,0.1432249768,7.81,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-0.15,615.0,0.146882720652949,4.73,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,817.0,0.1431065003,7.56,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-2.15,615.0,0.1467594487521185,1.04,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,7.85,817.0,0.1429882197,7.24,"Pan2021, molality computed from reported density via mass balance",,False,
NaCl,Pan2021,experimental,-5.15,615.0,0.1465755651343579,0.64,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,4.85,817.0,0.1428331647901122,3.3,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-8.15,615.0,0.1463929039450108,0.34,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,3.85,817.0,0.1427691565298783,2.27,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-10.15,615.0,0.1462718052813214,0.23,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,2.85,817.0,0.1427052860895857,1.84,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,-12.15,615.0,0.1461512444441708,0.13,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,1.85,817.0,0.1426415531763391,1.37,molality via in-hull density interp from Pan completed rows,,False,
