Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_NH4,m_free_Ca,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
CaCl2,5.0,7.6e-05,0.1,0.0,0.0001520000001203,0.0,0.0,0.0,0.0,7.600000006015202e-05,0.0,0.0,0.0,0.0002280439319039,0.000228
CaCl2,5.0,0.000755,0.1,0.0,0.0015100000012397,0.0,0.0,0.0,0.0,0.0007550000006198,0.0,0.0,0.0,0.0022650455727606,0.002265
CaCl2,5.0,0.00755,0.1,0.0,0.0151000000137436,0.0,0.0,0.0,0.0,0.0075500000068718,0.0,0.0,0.0,0.0226500505411618,0.02265
CaCl2,5.0,0.0755,0.1,0.0,0.1510000001760546,0.0,0.0,0.0,0.0,0.0755000000880273,0.0,0.0,0.0,0.2265000649801498,0.2264999999999999
CaCl2,5.0,0.3773,0.1,0.0,0.7546000011783632,0.0,0.0,0.0,0.0,0.3773000005891816,0.0,0.0,0.0,1.1319000884445642,1.1319
CaCl2,10.0,7.6e-05,0.1,0.0,0.0001520000001511,0.0,0.0,0.0,0.0,7.600000007557688e-05,0.0,0.0,0.0,0.0002280551974236,0.000228
CaCl2,10.0,0.000755,0.1,0.0,0.001510000001558,0.0,0.0,0.0,0.0,0.000755000000779,0.0,0.0,0.0,0.0022650572735481,0.002265
CaCl2,10.0,0.00755,0.1,0.0,0.0151000000172858,0.0,0.0,0.0,0.0,0.0075500000086429,0.0,0.0,0.0,0.0226500635672888,0.02265
CaCl2,10.0,0.0755,0.1,0.0,0.1510000002219525,0.0,0.0,0.0,0.0,0.0755000001109762,0.0,0.0,0.0,0.2265000819206572,0.2264999999999999
CaCl2,10.0,0.3773,0.1,0.0,0.7546000014919555,0.0,0.0,0.0,0.0,0.3773000007459777,0.0,0.0,0.0,1.1319001119819052,1.1319
CaCl2,25.0,7.6e-05,0.1,0.0,0.0001520000002805,0.0,0.0,0.0,0.0,7.60000001402501e-05,0.0,0.0,0.0,0.0002281024313728,0.000228
CaCl2,25.0,0.000755,0.1,0.0,0.0015100000028937,0.0,0.0,0.0,0.0,0.0007550000014468,0.0,0.0,0.0,0.0022651063750131,0.002265
CaCl2,25.0,0.00755,0.1,0.0,0.0151000000321897,0.0,0.0,0.0,0.0,0.0075500000160948,0.0,0.0,0.0,0.0226501183747566,0.02265
CaCl2,25.0,0.0755,0.1,0.0,0.151000000416541,0.0,0.0,0.0,0.0,0.0755000002082705,0.0,0.0,0.0,0.2265001537414909,0.2264999999999999
CaCl2,25.0,0.3773,0.1,0.0,0.7546000028387644,0.0,0.0,0.0,0.0,0.3773000014193822,0.0,0.0,0.0,1.1319002130695237,1.1319
CaCl2,35.0,7.6e-05,0.1,0.0,0.0001520000004033,0.0,0.0,0.0,0.0,7.600000020165219e-05,0.0,0.0,0.0,0.0002281472762562,0.000228
CaCl2,35.0,0.000755,0.1,0.0,0.0015100000041633,0.0,0.0,0.0,0.0,0.0007550000020816,0.0,0.0,0.0,0.002265153045763,0.002265
CaCl2,35.0,0.00755,0.1,0.0,0.0151000000464043,0.0,0.0,0.0,0.0,0.0075500000232021,0.0,0.0,0.0,0.0226501706478707,0.02265
