Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_NH4,m_free_Ca,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
CaCl2,5.0,7.6e-05,0.1,0.0,0.00015199523942433765,0.0,0.0,0.0,0.0,7.599521575911243e-05,0.0,0.0,0.0,0.0002280344963585643,0.000228
CaCl2,5.0,0.000755,0.1,0.0,0.001509595708866363,0.0,0.0,0.0,0.0,0.0007545955003730968,0.0,0.0,0.0,0.0022642368375826393,0.002265
CaCl2,5.0,0.00755,0.1,0.0,0.015071920897396856,0.0,0.0,0.0,0.0,0.007521919353310216,0.0,0.0,0.0,0.022593889706717114,0.02265
CaCl2,5.0,0.0755,0.1,0.0,0.1492817621481403,0.0,0.0,0.0,0.0,0.07378175201529676,0.0,0.0,0.0,0.22306356860498797,0.22649999999999998
CaCl2,5.0,0.3773,0.1,0.0,0.7067458140626773,0.0,0.0,0.0,0.0,0.3294457661060396,0.0,0.0,0.0,1.0361916251431265,1.1319000000000001
CaCl2,10.0,7.6e-05,0.1,0.0,0.00015199512626721984,0.0,0.0,0.0,0.0,7.599509146997795e-05,0.0,0.0,0.0,0.00022804557903935449,0.000228
CaCl2,10.0,0.000755,0.1,0.0,0.0015095845435271166,0.0,0.0,0.0,0.0,0.0007545842357672619,0.0,0.0,0.0,0.00226422606102134,0.002265
CaCl2,10.0,0.00755,0.1,0.0,0.015070902193606957,0.0,0.0,0.0,0.0,0.0075208998969468295,0.0,0.0,0.0,0.02259186388625452,0.02265
CaCl2,10.0,0.0755,0.1,0.0,0.1492052957292506,0.0,0.0,0.0,0.0,0.07370528072411701,0.0,0.0,0.0,0.2229106433696046,0.22649999999999998
CaCl2,10.0,0.3773,0.1,0.0,0.7052302197722834,0.0,0.0,0.0,0.0,0.3279301521796486,0.0,0.0,0.0,1.0331604255820497,1.1319000000000001
CaCl2,25.0,7.6e-05,0.1,0.0,0.00015199450103220509,0.0,0.0,0.0,0.0,7.599439853686181e-05,0.0,0.0,0.0,0.0002280911523171291,0.000228
CaCl2,25.0,0.000755,0.1,0.0,0.001509526395886715,0.0,0.0,0.0,0.0,0.0007545254815552351,0.0,0.0,0.0,0.0022641572472109238,0.002265
CaCl2,25.0,0.00755,0.1,0.0,0.015066059082847319,0.0,0.0,0.0,0.0,0.0075160521692058035,0.0,0.0,0.0,0.022582223089194012,0.02265
CaCl2,25.0,0.0755,0.1,0.0,0.14886364818811598,0.0,0.0,0.0,0.0,0.07336360438858854,0.0,0.0,0.0,0.22222736670594015,0.22649999999999998
CaCl2,25.0,0.3773,0.1,0.0,0.698432261288939,0.0,0.0,0.0,0.0,0.3211320901866435,0.0,0.0,0.0,1.0195644348804833,1.1319000000000001
