Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
CaCl2,5.0,7.6e-05,0.1,0.0,0.0001520000001202274,0.0,0.0,0.0,7.599972234406667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022804335027037354,0.000228
CaCl2,10.0,7.6e-05,0.1,0.0,0.00015200000015092266,0.0,0.0,0.0,7.599977889718205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022805467289937573,0.000228
CaCl2,25.0,7.6e-05,0.1,0.0,0.00015200000027890814,0.0,0.0,0.0,7.599988055535281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022810161496209983,0.000228
CaCl2,35.0,7.6e-05,0.1,0.0,0.00015200000039946148,0.0,0.0,0.0,7.599991675755396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022814571197437534,0.000228
CaCl2,45.0,7.6e-05,0.1,0.0,0.0001520000005526375,0.0,0.0,0.0,7.599994000370366e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022820169648988885,0.000228
CaCl2,70.0,7.6e-05,0.1,0.0,0.00015200000109561308,0.0,0.0,0.0,7.59999702062343e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022840004495366795,0.000228
CaCl2,90.0,7.6e-05,0.1,0.0,0.0001520000017017583,0.0,0.0,0.0,7.599998135315953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022862142409744055,0.000228
CaCl2,5.0,0.000755,0.1,0.0,0.0015100000012637682,0.0,0.0,0.0,0.0007549975678282897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022650415931381937,0.002265
CaCl2,10.0,0.000755,0.1,0.0,0.0015100000015732657,0.0,0.0,0.0,0.0007549980480386613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022650539310177633,0.002265
CaCl2,25.0,0.000755,0.1,0.0,0.0015100000028787333,0.0,0.0,0.0,0.0007549989369280799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022651036991976235,0.002265
