Salt,Temperature_C,Molality_molkg,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,I_eff,I_formal
KCl,5.0,0.0001,0.00010000000007865208,0.00010000000007865208,1.0000000007865208e-16,1.0000000007865208e-16,1.0000000007865234e-16,1.0000000007865208e-16,1.0000000007865208e-16,1.0000000007865208e-16,0.00010004365687264368,0.0001
KCl,10.0,0.0001,0.00010000000009881659,0.00010000000009881659,1.000000000988166e-16,1.000000000988166e-16,1.0000000009881668e-16,1.000000000988166e-16,1.000000000988166e-16,1.000000000988166e-16,0.00010005484945310718,0.0001
KCl,25.0,0.0001,0.00010000000018334954,0.00010000000018334954,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334977e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,0.00010010177057527908,0.0001
KCl,35.0,0.0001,0.00010000000026359122,0.00010000000026359122,1.000000002635912e-16,1.000000002635912e-16,1.0000000026359131e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,0.0001001463097835596,0.0001
KCl,45.0,0.0001,0.00010000000036620071,0.00010000000036620071,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620075e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,0.00010020326451508452,0.0001
KCl,70.0,0.0001,0.00010000000073334461,0.00010000000073334461,1.000000007333446e-16,1.000000007333446e-16,1.0000000073334485e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,0.00010040705257858561,0.0001
KCl,90.0,0.0001,0.00010000000114549955,0.00010000000114549955,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549979e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,0.00010063582461731219,0.0001
KCl,5.0,0.001,0.0010000000008045515,0.0010000000008045515,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045529e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,0.0010000446584153707,0.001
KCl,10.0,0.001,0.0010000000010109828,0.0010000000010109828,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109832e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,0.00100005611683554,0.001
KCl,25.0,0.001,0.0010000000018768494,0.0010000000018768494,1.0000000018768493e-16,1.0000000018768493e-16,1.0000000018768498e-16,1.0000000018768493e-16,1.0000000018768493e-16,1.0000000018768493e-16,0.0010001041786865605,0.001
KCl,35.0,0.001,0.0010000000026993458,0.0010000000026993458,1.0000000026993457e-16,1.0000000026993457e-16,1.0000000026993472e-16,1.0000000026993457e-16,1.0000000026993457e-16,1.0000000026993457e-16,0.0010001498331801812,0.001
KCl,45.0,0.001,0.0010000000037518131,0.0010000000037518131,1.0000000037518131e-16,1.0000000037518131e-16,1.0000000037518157e-16,1.0000000037518131e-16,1.0000000037518131e-16,1.0000000037518131e-16,0.0010002082527032236,0.001
KCl,70.0,0.001,0.0010000000075229523,0.0010000000075229523,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229547e-16,1.0000000075229522e-16,1.0000000075229522e-16,1.0000000075229522e-16,0.0010004175781485728,0.001
KCl,90.0,0.001,0.001000000011765147,0.001000000011765147,1.000000011765147e-16,1.000000011765147e-16,1.0000000117651474e-16,1.000000011765147e-16,1.000000011765147e-16,1.000000011765147e-16,0.0010006530505707008,0.001
KCl,5.0,0.01,0.010000000008552477,0.010000000008552477,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552491e-16,1.0000000008552476e-16,1.0000000008552476e-16,1.0000000008552476e-16,0.010000047480111211,0.01
KCl,10.0,0.01,0.010000000010751353,0.010000000010751353,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751368e-16,1.0000000010751353e-16,1.0000000010751353e-16,1.0000000010751353e-16,0.01000005968744465,0.01
KCl,25.0,0.01,0.010000000019987588,0.010000000019987588,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987604e-16,1.0000000019987589e-16,1.0000000019987589e-16,1.0000000019987589e-16,0.010000110963525374,0.01
KCl,35.0,0.01,0.010000000028777462,0.010000000028777462,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777485e-16,1.0000000028777461e-16,1.0000000028777461e-16,1.0000000028777461e-16,0.010000159761575799,0.01
KCl,45.0,0.01,0.010000000040044392,0.010000000040044392,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044415e-16,1.0000000040044391e-16,1.0000000040044391e-16,1.0000000040044391e-16,0.010000222311315433,0.01
KCl,70.0,0.01,0.010000000080564854,0.010000000080564854,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564855e-16,1.0000000080564852e-16,1.0000000080564852e-16,1.0000000080564852e-16,0.010000447265578824,0.01
KCl,90.0,0.01,0.010000000126391968,0.010000000126391968,1.000000012639197e-16,1.000000012639197e-16,1.0000000126391993e-16,1.000000012639197e-16,1.000000012639197e-16,1.000000012639197e-16,0.01000070168039446,0.01
KCl,5.0,0.1,0.1000000000973093,0.1000000000973093,1.000000000973093e-16,1.000000000973093e-16,1.0000000009730938e-16,1.000000000973093e-16,1.000000000973093e-16,1.000000000973093e-16,0.1000000541100188,0.1
KCl,10.0,0.1,0.10000000012242635,0.10000000012242635,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242649e-16,1.0000000012242633e-16,1.0000000012242633e-16,1.0000000012242633e-16,0.10000006807666226,0.1
KCl,25.0,0.1,0.10000000022822246,0.10000000022822246,1.0000000022822245e-16,1.0000000022822245e-16,1.000000002282225e-16,1.0000000022822245e-16,1.0000000022822245e-16,1.0000000022822245e-16,0.10000012690588107,0.1
