Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
KCl,5.0,0.0001,0.1,0.00010000000007777945,0.00010000000007777945,1.0000000007777949e-16,1.0000000007777949e-16,1.0000000007777949e-16,1.0000000007777949e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,1.0000000007777943e-16,0.00010004317250686418,0.0001
KCl,10.0,0.0001,0.1,0.00010000000009771223,0.00010000000009771223,1.0000000009771228e-16,1.0000000009771228e-16,1.0000000009771228e-16,1.0000000009771228e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,1.0000000009771222e-16,0.00010005423646681674,0.0001
KCl,25.0,0.0001,0.1,0.00010000000018334954,0.00010000000018334954,1.0000000018334958e-16,1.0000000018334958e-16,1.0000000018334961e-16,1.0000000018334958e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,1.0000000018334953e-16,0.00010010177057587905,0.0001
KCl,35.0,0.0001,0.1,0.00010000000026359122,0.00010000000026359122,1.0000000026359126e-16,1.0000000026359126e-16,1.0000000026359126e-16,1.0000000026359126e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,1.000000002635912e-16,0.00010014630978415959,0.0001
KCl,45.0,0.0001,0.1,0.00010000000036620071,0.00010000000036620071,1.0000000036620075e-16,1.0000000036620075e-16,1.0000000036620075e-16,1.0000000036620075e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,1.0000000036620069e-16,0.0001002032645156845,0.0001
KCl,70.0,0.0001,0.1,0.00010000000073334461,0.00010000000073334461,1.0000000073334466e-16,1.0000000073334466e-16,1.000000007333447e-16,1.0000000073334466e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,1.000000007333446e-16,0.00010040705257918561,0.0001
KCl,90.0,0.0001,0.1,0.00010000000114549955,0.00010000000114549955,1.0000000114549959e-16,1.0000000114549959e-16,1.0000000114549966e-16,1.0000000114549959e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,1.0000000114549956e-16,0.00010063582461791219,0.0001
KCl,5.0,0.001,0.1,0.0010000000008045515,0.0010000000008045515,1.0000000008045522e-16,1.0000000008045522e-16,1.0000000008045526e-16,1.0000000008045522e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,1.0000000008045515e-16,0.0010000446584159711,0.001
KCl,10.0,0.001,0.1,0.0010000000010109828,0.0010000000010109828,1.0000000010109832e-16,1.0000000010109832e-16,1.0000000010109832e-16,1.0000000010109832e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,1.0000000010109827e-16,0.0010000561168361404,0.001
KCl,25.0,0.001,0.1,0.0010000000018768422,0.0010000000018768422,1.0000000018768427e-16,1.0000000018768427e-16,1.0000000018768447e-16,1.0000000018768427e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,1.0000000018768421e-16,0.0010001041786871538,0.001
KCl,35.0,0.001,0.1,0.001000000002699339,0.001000000002699339,1.0000000026993394e-16,1.0000000026993394e-16,1.0000000026993414e-16,1.0000000026993394e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,1.000000002699339e-16,0.0010001498331807742,0.001
