Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
MgSO4,-6.0,0.0249,0.1,1.0000000012600895e-16,1.0000000012600895e-16,1.0000000012600902e-16,0.022310728724261295,0.022310754157408817,1.0000000012600902e-16,1.0000000012600895e-16,1.0000000012600895e-16,1.0000000012600895e-16,1.0000000012600895e-16,0.002589222125332118,1.0000000012600895e-16,1.0000000012600895e-16,1.0000000012600895e-16,1.0000000012600895e-16,1.0000000012600895e-16,0.08924303570615075,0.0996
MgSO4,-3.0,0.0249,0.1,1.000000001488222e-16,1.000000001488222e-16,1.0000000014882226e-16,0.022105938349658346,0.022105967926838554,1.0000000014882226e-16,1.000000001488222e-16,1.000000001488222e-16,1.000000001488222e-16,1.000000001488222e-16,0.002794003379760436,1.000000001488222e-16,1.000000001488222e-16,1.000000001488222e-16,1.000000001488222e-16,1.000000001488222e-16,0.08842389515858542,0.0996
MgSO4,-1.0,0.0249,0.1,1.0000000016594196e-16,1.0000000016594196e-16,1.00000000165942e-16,0.02196530473479989,0.021965337365909526,1.00000000165942e-16,1.0000000016594196e-16,1.0000000016594196e-16,1.0000000016594196e-16,1.0000000016594196e-16,0.002934630104791491,1.0000000016594196e-16,1.0000000016594196e-16,1.0000000016594196e-16,1.0000000016594196e-16,1.0000000016594196e-16,0.0878613763095301,0.0996
MgSO4,5.0,0.0249,0.1,1.0000000022792168e-16,1.0000000022792168e-16,1.0000000022792172e-16,0.021525190715010422,0.02152523404646952,1.0000000022792172e-16,1.0000000022792168e-16,1.0000000022792168e-16,1.0000000022792168e-16,1.0000000022792168e-16,0.003374718889242823,1.0000000022792168e-16,1.0000000022792168e-16,1.0000000022792168e-16,1.0000000022792168e-16,1.0000000022792168e-16,0.0861009760340568,0.0996
MgSO4,20.0,0.0249,0.1,1.0000000047741263e-16,1.0000000047741263e-16,1.0000000047741266e-16,0.020328899320843037,0.020328981358771515,1.0000000047741266e-16,1.0000000047741263e-16,1.0000000047741263e-16,1.0000000047741263e-16,1.0000000047741263e-16,0.004570905258449048,1.0000000047741263e-16,1.0000000047741263e-16,1.0000000047741263e-16,1.0000000047741263e-16,1.0000000047741263e-16,0.08131602635290999,0.0996
MgSO4,25.0,0.0249,0.1,1.0000000060184099e-16,1.0000000060184099e-16,1.0000000060184104e-16,0.01990876710330067,0.019908866414622143,1.0000000060184104e-16,1.0000000060184099e-16,1.0000000060184099e-16,1.0000000060184099e-16,1.0000000060184099e-16,0.0049909835965652296,1.0000000060184099e-16,1.0000000060184099e-16,1.0000000060184099e-16,1.0000000060184099e-16,1.0000000060184099e-16,0.07963560109501297,0.0996
MgSO4,-10.0,0.3323,0.1,1.0000000040577082e-16,1.0000000040577082e-16,1.0000000040577088e-16,0.258851485440386,0.2588515476066122,1.0000000040577082e-16,1.0000000040577082e-16,1.0000000040577082e-16,1.0000000040577082e-16,1.0000000040577082e-16,0.0734483028893932,1.0000000040577088e-16,1.0000000040577082e-16,1.0000000040577082e-16,1.0000000040577082e-16,1.0000000040577082e-16,1.0354062913220274,1.3292
MgSO4,-6.0,0.3323,0.1,1.0000000050855326e-16,1.0000000050855326e-16,1.0000000050855333e-16,0.2526493822763266,0.25264945742653866,1.0000000050855326e-16,1.0000000050855326e-16,1.0000000050855326e-16,1.0000000050855326e-16,1.0000000050855326e-16,0.07965035254895922,1.0000000050855333e-16,1.0000000050855326e-16,1.0000000050855326e-16,1.0000000050855326e-16,1.0000000050855326e-16,1.0105979616844198,1.3292
MgSO4,-3.0,0.3323,0.1,1.0000000060006632e-16,1.0000000060006632e-16,1.0000000060006637e-16,0.24797443127989213,0.24797451741425908,1.0000000060006632e-16,1.0000000060006632e-16,1.0000000060006632e-16,1.0000000060006632e-16,1.0000000060006632e-16,0.08432525588363413,1.0000000060006637e-16,1.0000000060006632e-16,1.0000000060006632e-16,1.0000000060006632e-16,1.0000000060006632e-16,0.9918982304624177,1.3292
MgSO4,-1.0,0.3323,0.1,1.0000000066887539e-16,1.0000000066887539e-16,1.0000000066887544e-16,0.24485531092176432,0.24485540500345038,1.0000000066887539e-16,1.0000000066887539e-16,1.0000000066887539e-16,1.0000000066887539e-16,1.0000000066887539e-16,0.08744434038845145,1.0000000066887544e-16,1.0000000066887539e-16,1.0000000066887539e-16,1.0000000066887539e-16,1.0000000066887539e-16,0.9794218031178619,1.3292
