Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
MgSO4,-6.0,0.0249,0.1,1.0000000010067491e-16,1.0000000010067491e-16,1.0000000010067496e-16,0.013023171844348293,0.01302319178636163,1.0000000010067496e-16,1.0000000010067491e-16,1.0000000010067491e-16,1.0000000010067491e-16,1.0000000010067491e-16,0.011876793820021672,1.0000000010067491e-16,1.0000000010067491e-16,1.0000000010067491e-16,1.0000000010067491e-16,1.0000000010067491e-16,0.05209278314225632,0.0996
MgSO4,-3.0,0.0249,0.1,1.0000000011745037e-16,1.0000000011745037e-16,1.0000000011745043e-16,0.012567981579878974,0.01256800453254269,1.0000000011745043e-16,1.0000000011745037e-16,1.0000000011745037e-16,1.0000000011745037e-16,1.0000000011745037e-16,0.012331978461458918,1.0000000011745037e-16,1.0000000011745037e-16,1.0000000011745037e-16,1.0000000011745037e-16,1.0000000011745037e-16,0.050272037417104475,0.0996
MgSO4,-1.0,0.0249,0.1,1.0000000012987861e-16,1.0000000012987861e-16,1.0000000012987866e-16,0.012272593499737902,0.012272618655303769,1.0000000012987866e-16,1.0000000012987861e-16,1.0000000012987861e-16,1.0000000012987861e-16,1.0000000012987861e-16,0.01262736236336701,1.0000000012987861e-16,1.0000000012987861e-16,1.0000000012987861e-16,1.0000000012987861e-16,1.0000000012987861e-16,0.049090496400793764,0.0996
MgSO4,5.0,0.0249,0.1,1.0000000017390984e-16,1.0000000017390984e-16,1.0000000017390988e-16,0.01142646265357122,0.01142649545044624,1.0000000017390988e-16,1.0000000017390984e-16,1.0000000017390984e-16,1.0000000017390984e-16,1.0000000017390984e-16,0.013473478310259046,1.0000000017390984e-16,1.0000000017390984e-16,1.0000000017390984e-16,1.0000000017390984e-16,1.0000000017390984e-16,0.04570601273880517,0.0996
MgSO4,20.0,0.0249,0.1,1.0000000034073547e-16,1.0000000034073547e-16,1.0000000034073554e-16,0.009576729009074933,0.009576788983273382,1.0000000034073554e-16,1.0000000034073547e-16,1.0000000034073547e-16,1.0000000034073547e-16,1.0000000034073547e-16,0.015323154046339861,1.0000000034073547e-16,1.0000000034073547e-16,1.0000000034073547e-16,1.0000000034073547e-16,1.0000000034073547e-16,0.03830722511407198,0.0996
MgSO4,25.0,0.0249,0.1,1.0000000041967831e-16,1.0000000041967831e-16,1.0000000041967835e-16,0.009041444963733384,0.009041517009796659,1.0000000041967835e-16,1.0000000041967831e-16,1.0000000041967831e-16,1.0000000041967831e-16,1.0000000041967831e-16,0.015858409924576235,1.0000000041967831e-16,1.0000000041967831e-16,1.0000000041967831e-16,1.0000000041967831e-16,1.0000000041967831e-16,0.03616615689461323,0.0996
MgSO4,-10.0,0.3323,0.1,1.0000000018247489e-16,1.0000000018247489e-16,1.0000000018247493e-16,0.03345899002752273,0.03345901633791011,1.0000000018247489e-16,1.0000000018247489e-16,1.0000000018247489e-16,1.0000000018247489e-16,1.0000000018247489e-16,0.2988409201487541,1.0000000018247493e-16,1.0000000018247489e-16,1.0000000018247489e-16,1.0000000018247489e-16,1.0000000018247489e-16,0.13383611401577755,1.3292
MgSO4,-6.0,0.3323,0.1,1.000000002860466e-16,1.000000002860466e-16,1.0000000028604664e-16,0.10609547606024161,0.10609552355111333,1.0000000028604664e-16,1.000000002860466e-16,1.000000002860466e-16,1.000000002860466e-16,1.000000002860466e-16,0.22620438454414385,1.000000002860466e-16,1.000000002860466e-16,1.000000002860466e-16,1.000000002860466e-16,1.000000002860466e-16,0.4243821579963611,1.3292
MgSO4,-3.0,0.3323,0.1,1.0000000033176354e-16,1.0000000033176354e-16,1.000000003317636e-16,0.10123991724537236,0.1012399712501687,1.000000003317636e-16,1.0000000033176354e-16,1.0000000033176354e-16,1.0000000033176354e-16,1.0000000033176354e-16,0.23105992146768592,1.0000000033176354e-16,1.0000000033176354e-16,1.0000000033176354e-16,1.0000000033176354e-16,1.0000000033176354e-16,0.40495996114048044,1.3292
MgSO4,-1.0,0.3323,0.1,1.0000000036566813e-16,1.0000000036566813e-16,1.0000000036566818e-16,0.0981520674553042,0.09815212616323792,1.0000000036566818e-16,1.0000000036566813e-16,1.0000000036566813e-16,1.0000000036566813e-16,1.0000000036566813e-16,0.23414775502542115,1.0000000036566813e-16,1.0000000036566813e-16,1.0000000036566813e-16,1.0000000036566813e-16,1.0000000036566813e-16,0.39260859020563665,1.3292
