Salt,Temperature_C,Molality_molkg,Pressure_MPa,m_free_K,m_free_Cl,m_free_Na,m_free_Mg,m_free_SO4,m_free_Ca,m_free_NH4,m_free_CO3,m_pair_KSO4,m_pair_NaSO4,m_pair_MgSO4,m_pair_CaSO4,m_pair_NaCO3,m_pair_MgCO3,m_pair_CaCO3,m_pair_NH4SO4,I_eff,I_formal
KCl,5.0,0.0001,0.1,0.00010000000007841247,0.00010000000007841247,1.0000000007841246e-16,1.000000000784125e-16,1.0000000007841246e-16,1.000000000784125e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,1.0000000007841246e-16,0.00010004352387208951,0.0001
KCl,10.0,0.0001,0.1,0.00010000000009854248,0.00010000000009854248,1.0000000009854247e-16,1.0000000009854253e-16,1.0000000009854247e-16,1.0000000009854253e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,1.0000000009854247e-16,0.00010005469730551334,0.0001
KCl,25.0,0.0001,0.1,0.00010000000018234367,0.00010000000018234367,1.0000000018234368e-16,1.0000000018234372e-16,1.0000000018234368e-16,1.0000000018234372e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,1.0000000018234368e-16,0.00010010121225775016,0.0001
KCl,35.0,0.0001,0.1,0.0001000000002612112,0.0001000000002612112,1.0000000026121118e-16,1.0000000026121123e-16,1.0000000026121118e-16,1.0000000026121123e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,1.0000000026121118e-16,0.00010014498870528589,0.0001
KCl,45.0,0.0001,0.1,0.00010000000036138417,0.00010000000036138417,1.0000000036138418e-16,1.0000000036138422e-16,1.0000000036138418e-16,1.0000000036138422e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,1.0000000036138418e-16,0.00010020059104391978,0.0001
KCl,70.0,0.0001,0.1,0.0001000000007163055,0.0001000000007163055,1.0000000071630551e-16,1.0000000071630554e-16,1.0000000071630551e-16,1.0000000071630554e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,1.0000000071630551e-16,0.00010039759480845162,0.0001
KCl,90.0,0.0001,0.1,0.00010000000111229899,0.00010000000111229899,1.0000000111229896e-16,1.0000000111229904e-16,1.0000000111229896e-16,1.0000000111229904e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,1.0000000111229896e-16,0.00010061739619472334,0.0001
KCl,5.0,0.001,0.1,0.0010000000008021004,0.0010000000008021004,1.0000000008021002e-16,1.0000000008021008e-16,1.0000000008021002e-16,1.0000000008021008e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,1.0000000008021002e-16,0.0010000445223638094,0.001
KCl,10.0,0.001,0.1,0.0010000000010081784,0.0010000000010081784,1.0000000010081783e-16,1.0000000010081789e-16,1.0000000010081783e-16,1.0000000010081789e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,1.0000000010081783e-16,0.00100005596117263,0.001
KCl,25.0,0.001,0.1,0.001000000001866553,0.001000000001866553,1.0000000018665527e-16,1.0000000018665533e-16,1.0000000018665548e-16,1.0000000018665533e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,1.0000000018665527e-16,0.0010001036071602856,0.001
